MTU (CET/CEST),Area,Sequence,Day-ahead Price (EUR/kWh),Intraday Period (CET/CEST),Intraday Price (EUR/MWh)
01/01/2025 06:00:00 - 01/01/2025 06:15:00,BZN|DE-LU,Sequence 1,-8.999999999999999e-05,,
01/01/2025 06:15:00 - 01/01/2025 06:30:00,BZN|DE-LU,Sequence 1,-8.999999999999999e-05,,
01/01/2025 06:30:00 - 01/01/2025 06:45:00,BZN|DE-LU,Sequence 1,-8.999999999999999e-05,,
01/01/2025 06:45:00 - 01/01/2025 07:00:00,BZN|DE-LU,Sequence 1,-8.999999999999999e-05,,
01/01/2025 07:00:00 - 01/01/2025 07:15:00,BZN|DE-LU,Sequence 1,-1e-05,,
01/01/2025 07:15:00 - 01/01/2025 07:30:00,BZN|DE-LU,Sequence 1,-1e-05,,
01/01/2025 07:30:00 - 01/01/2025 07:45:00,BZN|DE-LU,Sequence 1,-1e-05,,
01/01/2025 07:45:00 - 01/01/2025 08:00:00,BZN|DE-LU,Sequence 1,-1e-05,,
01/01/2025 08:00:00 - 01/01/2025 08:15:00,BZN|DE-LU,Sequence 1,-1e-05,,
01/01/2025 08:15:00 - 01/01/2025 08:30:00,BZN|DE-LU,Sequence 1,-1e-05,,
01/01/2025 08:30:00 - 01/01/2025 08:45:00,BZN|DE-LU,Sequence 1,-1e-05,,
01/01/2025 08:45:00 - 01/01/2025 09:00:00,BZN|DE-LU,Sequence 1,-1e-05,,
01/01/2025 09:00:00 - 01/01/2025 09:15:00,BZN|DE-LU,Sequence 1,-4e-05,,
01/01/2025 09:15:00 - 01/01/2025 09:30:00,BZN|DE-LU,Sequence 1,-4e-05,,
01/01/2025 09:30:00 - 01/01/2025 09:45:00,BZN|DE-LU,Sequence 1,-4e-05,,
01/01/2025 09:45:00 - 01/01/2025 10:00:00,BZN|DE-LU,Sequence 1,-4e-05,,
01/01/2025 10:00:00 - 01/01/2025 10:15:00,BZN|DE-LU,Sequence 1,-2.9999999999999997e-05,,
01/01/2025 10:15:00 - 01/01/2025 10:30:00,BZN|DE-LU,Sequence 1,-2.9999999999999997e-05,,
01/01/2025 10:30:00 - 01/01/2025 10:45:00,BZN|DE-LU,Sequence 1,-2.9999999999999997e-05,,
01/01/2025 10:45:00 - 01/01/2025 11:00:00,BZN|DE-LU,Sequence 1,-2.9999999999999997e-05,,
01/01/2025 11:00:00 - 01/01/2025 11:15:00,BZN|DE-LU,Sequence 1,-0.0001,,
01/01/2025 11:15:00 - 01/01/2025 11:30:00,BZN|DE-LU,Sequence 1,-0.0001,,
01/01/2025 11:30:00 - 01/01/2025 11:45:00,BZN|DE-LU,Sequence 1,-0.0001,,
01/01/2025 11:45:00 - 01/01/2025 12:00:00,BZN|DE-LU,Sequence 1,-0.0001,,
01/01/2025 12:00:00 - 01/01/2025 12:15:00,BZN|DE-LU,Sequence 1,-5e-05,,
01/01/2025 12:15:00 - 01/01/2025 12:30:00,BZN|DE-LU,Sequence 1,-5e-05,,
01/01/2025 12:30:00 - 01/01/2025 12:45:00,BZN|DE-LU,Sequence 1,-5e-05,,
01/01/2025 12:45:00 - 01/01/2025 13:00:00,BZN|DE-LU,Sequence 1,-5e-05,,
01/01/2025 13:00:00 - 01/01/2025 13:15:00,BZN|DE-LU,Sequence 1,-0.0001,,
01/01/2025 13:15:00 - 01/01/2025 13:30:00,BZN|DE-LU,Sequence 1,-0.0001,,
01/01/2025 13:30:00 - 01/01/2025 13:45:00,BZN|DE-LU,Sequence 1,-0.0001,,
01/01/2025 13:45:00 - 01/01/2025 14:00:00,BZN|DE-LU,Sequence 1,-0.0001,,
01/01/2025 14:00:00 - 01/01/2025 14:15:00,BZN|DE-LU,Sequence 1,-0.00101,,
01/01/2025 14:15:00 - 01/01/2025 14:30:00,BZN|DE-LU,Sequence 1,-0.00101,,
01/01/2025 14:30:00 - 01/01/2025 14:45:00,BZN|DE-LU,Sequence 1,-0.00101,,
01/01/2025 14:45:00 - 01/01/2025 15:00:00,BZN|DE-LU,Sequence 1,-0.00101,,
01/01/2025 15:00:00 - 01/01/2025 15:15:00,BZN|DE-LU,Sequence 1,-1e-05,,
01/01/2025 15:15:00 - 01/01/2025 15:30:00,BZN|DE-LU,Sequence 1,-1e-05,,
01/01/2025 15:30:00 - 01/01/2025 15:45:00,BZN|DE-LU,Sequence 1,-1e-05,,
01/01/2025 15:45:00 - 01/01/2025 16:00:00,BZN|DE-LU,Sequence 1,-1e-05,,
01/01/2025 16:00:00 - 01/01/2025 16:15:00,BZN|DE-LU,Sequence 1,-1e-05,,
01/01/2025 16:15:00 - 01/01/2025 16:30:00,BZN|DE-LU,Sequence 1,-1e-05,,
01/01/2025 16:30:00 - 01/01/2025 16:45:00,BZN|DE-LU,Sequence 1,-1e-05,,
01/01/2025 16:45:00 - 01/01/2025 17:00:00,BZN|DE-LU,Sequence 1,-1e-05,,
01/01/2025 17:00:00 - 01/01/2025 17:15:00,BZN|DE-LU,Sequence 1,7.000000000000001e-05,,
01/01/2025 17:15:00 - 01/01/2025 17:30:00,BZN|DE-LU,Sequence 1,7.000000000000001e-05,,
01/01/2025 17:30:00 - 01/01/2025 17:45:00,BZN|DE-LU,Sequence 1,7.000000000000001e-05,,
01/01/2025 17:45:00 - 01/01/2025 18:00:00,BZN|DE-LU,Sequence 1,7.000000000000001e-05,,
01/01/2025 18:00:00 - 01/01/2025 18:15:00,BZN|DE-LU,Sequence 1,0.00101,,
01/01/2025 18:15:00 - 01/01/2025 18:30:00,BZN|DE-LU,Sequence 1,0.00101,,
01/01/2025 18:30:00 - 01/01/2025 18:45:00,BZN|DE-LU,Sequence 1,0.00101,,
01/01/2025 18:45:00 - 01/01/2025 19:00:00,BZN|DE-LU,Sequence 1,0.00101,,
01/01/2025 19:00:00 - 01/01/2025 19:15:00,BZN|DE-LU,Sequence 1,0.00148,,
01/01/2025 19:15:00 - 01/01/2025 19:30:00,BZN|DE-LU,Sequence 1,0.00148,,
01/01/2025 19:30:00 - 01/01/2025 19:45:00,BZN|DE-LU,Sequence 1,0.00148,,
01/01/2025 19:45:00 - 01/01/2025 20:00:00,BZN|DE-LU,Sequence 1,0.00148,,
01/01/2025 20:00:00 - 01/01/2025 20:15:00,BZN|DE-LU,Sequence 1,0.001,,
01/01/2025 20:15:00 - 01/01/2025 20:30:00,BZN|DE-LU,Sequence 1,0.001,,
01/01/2025 20:30:00 - 01/01/2025 20:45:00,BZN|DE-LU,Sequence 1,0.001,,
01/01/2025 20:45:00 - 01/01/2025 21:00:00,BZN|DE-LU,Sequence 1,0.001,,
01/01/2025 21:00:00 - 01/01/2025 21:15:00,BZN|DE-LU,Sequence 1,7.000000000000001e-05,,
01/01/2025 21:15:00 - 01/01/2025 21:30:00,BZN|DE-LU,Sequence 1,7.000000000000001e-05,,
01/01/2025 21:30:00 - 01/01/2025 21:45:00,BZN|DE-LU,Sequence 1,7.000000000000001e-05,,
01/01/2025 21:45:00 - 01/01/2025 22:00:00,BZN|DE-LU,Sequence 1,7.000000000000001e-05,,
01/01/2025 22:00:00 - 01/01/2025 22:15:00,BZN|DE-LU,Sequence 1,0.01005,,
01/01/2025 22:15:00 - 01/01/2025 22:30:00,BZN|DE-LU,Sequence 1,0.01005,,
01/01/2025 22:30:00 - 01/01/2025 22:45:00,BZN|DE-LU,Sequence 1,0.01005,,
01/01/2025 22:45:00 - 01/01/2025 23:00:00,BZN|DE-LU,Sequence 1,0.01005,,
01/01/2025 23:00:00 - 01/01/2025 23:15:00,BZN|DE-LU,Sequence 1,0.00701,,
01/01/2025 23:15:00 - 01/01/2025 23:30:00,BZN|DE-LU,Sequence 1,0.00701,,
01/01/2025 23:30:00 - 01/01/2025 23:45:00,BZN|DE-LU,Sequence 1,0.00701,,
01/01/2025 23:45:00 - 02/01/2025 00:00:00,BZN|DE-LU,Sequence 1,0.00701,,
02/01/2025 00:00:00 - 02/01/2025 00:15:00,BZN|DE-LU,Sequence 1,0.0025499999999999997,,
02/01/2025 00:15:00 - 02/01/2025 00:30:00,BZN|DE-LU,Sequence 1,0.0025499999999999997,,
02/01/2025 00:30:00 - 02/01/2025 00:45:00,BZN|DE-LU,Sequence 1,0.0025499999999999997,,
02/01/2025 00:45:00 - 02/01/2025 01:00:00,BZN|DE-LU,Sequence 1,0.0025499999999999997,,
02/01/2025 01:00:00 - 02/01/2025 01:15:00,BZN|DE-LU,Sequence 1,0.00156,,
02/01/2025 01:15:00 - 02/01/2025 01:30:00,BZN|DE-LU,Sequence 1,0.00156,,
02/01/2025 01:30:00 - 02/01/2025 01:45:00,BZN|DE-LU,Sequence 1,0.00156,,
02/01/2025 01:45:00 - 02/01/2025 02:00:00,BZN|DE-LU,Sequence 1,0.00156,,
02/01/2025 02:00:00 - 02/01/2025 02:15:00,BZN|DE-LU,Sequence 1,0.0034500000000000004,,
02/01/2025 02:15:00 - 02/01/2025 02:30:00,BZN|DE-LU,Sequence 1,0.0034500000000000004,,
02/01/2025 02:30:00 - 02/01/2025 02:45:00,BZN|DE-LU,Sequence 1,0.0034500000000000004,,
02/01/2025 02:45:00 - 02/01/2025 03:00:00,BZN|DE-LU,Sequence 1,0.0034500000000000004,,
02/01/2025 03:00:00 - 02/01/2025 03:15:00,BZN|DE-LU,Sequence 1,0.007019999999999999,,
02/01/2025 03:15:00 - 02/01/2025 03:30:00,BZN|DE-LU,Sequence 1,0.007019999999999999,,
02/01/2025 03:30:00 - 02/01/2025 03:45:00,BZN|DE-LU,Sequence 1,0.007019999999999999,,
02/01/2025 03:45:00 - 02/01/2025 04:00:00,BZN|DE-LU,Sequence 1,0.007019999999999999,,
02/01/2025 04:00:00 - 02/01/2025 04:15:00,BZN|DE-LU,Sequence 1,0.01275,,
02/01/2025 04:15:00 - 02/01/2025 04:30:00,BZN|DE-LU,Sequence 1,0.01275,,
02/01/2025 04:30:00 - 02/01/2025 04:45:00,BZN|DE-LU,Sequence 1,0.01275,,
02/01/2025 04:45:00 - 02/01/2025 05:00:00,BZN|DE-LU,Sequence 1,0.01275,,
02/01/2025 05:00:00 - 02/01/2025 05:15:00,BZN|DE-LU,Sequence 1,0.03007,,
02/01/2025 05:15:00 - 02/01/2025 05:30:00,BZN|DE-LU,Sequence 1,0.03007,,
02/01/2025 05:30:00 - 02/01/2025 05:45:00,BZN|DE-LU,Sequence 1,0.03007,,
02/01/2025 05:45:00 - 02/01/2025 06:00:00,BZN|DE-LU,Sequence 1,0.03007,,
02/01/2025 06:00:00 - 02/01/2025 06:15:00,BZN|DE-LU,Sequence 1,0.06713,,
02/01/2025 06:15:00 - 02/01/2025 06:30:00,BZN|DE-LU,Sequence 1,0.06713,,
02/01/2025 06:30:00 - 02/01/2025 06:45:00,BZN|DE-LU,Sequence 1,0.06713,,
02/01/2025 06:45:00 - 02/01/2025 07:00:00,BZN|DE-LU,Sequence 1,0.06713,,
02/01/2025 07:00:00 - 02/01/2025 07:15:00,BZN|DE-LU,Sequence 1,0.09883,,
02/01/2025 07:15:00 - 02/01/2025 07:30:00,BZN|DE-LU,Sequence 1,0.09883,,
02/01/2025 07:30:00 - 02/01/2025 07:45:00,BZN|DE-LU,Sequence 1,0.09883,,
02/01/2025 07:45:00 - 02/01/2025 08:00:00,BZN|DE-LU,Sequence 1,0.09883,,
02/01/2025 08:00:00 - 02/01/2025 08:15:00,BZN|DE-LU,Sequence 1,0.12153,,
02/01/2025 08:15:00 - 02/01/2025 08:30:00,BZN|DE-LU,Sequence 1,0.12153,,
02/01/2025 08:30:00 - 02/01/2025 08:45:00,BZN|DE-LU,Sequence 1,0.12153,,
02/01/2025 08:45:00 - 02/01/2025 09:00:00,BZN|DE-LU,Sequence 1,0.12153,,
02/01/2025 09:00:00 - 02/01/2025 09:15:00,BZN|DE-LU,Sequence 1,0.12723,,
02/01/2025 09:15:00 - 02/01/2025 09:30:00,BZN|DE-LU,Sequence 1,0.12723,,
02/01/2025 09:30:00 - 02/01/2025 09:45:00,BZN|DE-LU,Sequence 1,0.12723,,
02/01/2025 09:45:00 - 02/01/2025 10:00:00,BZN|DE-LU,Sequence 1,0.12723,,
02/01/2025 10:00:00 - 02/01/2025 10:15:00,BZN|DE-LU,Sequence 1,0.12635,,
02/01/2025 10:15:00 - 02/01/2025 10:30:00,BZN|DE-LU,Sequence 1,0.12635,,
02/01/2025 10:30:00 - 02/01/2025 10:45:00,BZN|DE-LU,Sequence 1,0.12635,,
02/01/2025 10:45:00 - 02/01/2025 11:00:00,BZN|DE-LU,Sequence 1,0.12635,,
02/01/2025 11:00:00 - 02/01/2025 11:15:00,BZN|DE-LU,Sequence 1,0.11997,,
02/01/2025 11:15:00 - 02/01/2025 11:30:00,BZN|DE-LU,Sequence 1,0.11997,,
02/01/2025 11:30:00 - 02/01/2025 11:45:00,BZN|DE-LU,Sequence 1,0.11997,,
02/01/2025 11:45:00 - 02/01/2025 12:00:00,BZN|DE-LU,Sequence 1,0.11997,,
02/01/2025 12:00:00 - 02/01/2025 12:15:00,BZN|DE-LU,Sequence 1,0.11595,,
02/01/2025 12:15:00 - 02/01/2025 12:30:00,BZN|DE-LU,Sequence 1,0.11595,,
02/01/2025 12:30:00 - 02/01/2025 12:45:00,BZN|DE-LU,Sequence 1,0.11595,,
02/01/2025 12:45:00 - 02/01/2025 13:00:00,BZN|DE-LU,Sequence 1,0.11595,,
02/01/2025 13:00:00 - 02/01/2025 13:15:00,BZN|DE-LU,Sequence 1,0.1139,,
02/01/2025 13:15:00 - 02/01/2025 13:30:00,BZN|DE-LU,Sequence 1,0.1139,,
02/01/2025 13:30:00 - 02/01/2025 13:45:00,BZN|DE-LU,Sequence 1,0.1139,,
02/01/2025 13:45:00 - 02/01/2025 14:00:00,BZN|DE-LU,Sequence 1,0.1139,,
02/01/2025 14:00:00 - 02/01/2025 14:15:00,BZN|DE-LU,Sequence 1,0.12221,,
02/01/2025 14:15:00 - 02/01/2025 14:30:00,BZN|DE-LU,Sequence 1,0.12221,,
02/01/2025 14:30:00 - 02/01/2025 14:45:00,BZN|DE-LU,Sequence 1,0.12221,,
02/01/2025 14:45:00 - 02/01/2025 15:00:00,BZN|DE-LU,Sequence 1,0.12221,,
02/01/2025 15:00:00 - 02/01/2025 15:15:00,BZN|DE-LU,Sequence 1,0.13011,,
02/01/2025 15:15:00 - 02/01/2025 15:30:00,BZN|DE-LU,Sequence 1,0.13011,,
02/01/2025 15:30:00 - 02/01/2025 15:45:00,BZN|DE-LU,Sequence 1,0.13011,,
02/01/2025 15:45:00 - 02/01/2025 16:00:00,BZN|DE-LU,Sequence 1,0.13011,,
02/01/2025 16:00:00 - 02/01/2025 16:15:00,BZN|DE-LU,Sequence 1,0.13859,,
02/01/2025 16:15:00 - 02/01/2025 16:30:00,BZN|DE-LU,Sequence 1,0.13859,,
02/01/2025 16:30:00 - 02/01/2025 16:45:00,BZN|DE-LU,Sequence 1,0.13859,,
02/01/2025 16:45:00 - 02/01/2025 17:00:00,BZN|DE-LU,Sequence 1,0.13859,,
02/01/2025 17:00:00 - 02/01/2025 17:15:00,BZN|DE-LU,Sequence 1,0.15287,,
02/01/2025 17:15:00 - 02/01/2025 17:30:00,BZN|DE-LU,Sequence 1,0.15287,,
02/01/2025 17:30:00 - 02/01/2025 17:45:00,BZN|DE-LU,Sequence 1,0.15287,,
02/01/2025 17:45:00 - 02/01/2025 18:00:00,BZN|DE-LU,Sequence 1,0.15287,,
02/01/2025 18:00:00 - 02/01/2025 18:15:00,BZN|DE-LU,Sequence 1,0.15294,,
02/01/2025 18:15:00 - 02/01/2025 18:30:00,BZN|DE-LU,Sequence 1,0.15294,,
02/01/2025 18:30:00 - 02/01/2025 18:45:00,BZN|DE-LU,Sequence 1,0.15294,,
02/01/2025 18:45:00 - 02/01/2025 19:00:00,BZN|DE-LU,Sequence 1,0.15294,,
02/01/2025 19:00:00 - 02/01/2025 19:15:00,BZN|DE-LU,Sequence 1,0.13915,,
02/01/2025 19:15:00 - 02/01/2025 19:30:00,BZN|DE-LU,Sequence 1,0.13915,,
02/01/2025 19:30:00 - 02/01/2025 19:45:00,BZN|DE-LU,Sequence 1,0.13915,,
02/01/2025 19:45:00 - 02/01/2025 20:00:00,BZN|DE-LU,Sequence 1,0.13915,,
02/01/2025 20:00:00 - 02/01/2025 20:15:00,BZN|DE-LU,Sequence 1,0.13,,
02/01/2025 20:15:00 - 02/01/2025 20:30:00,BZN|DE-LU,Sequence 1,0.13,,
02/01/2025 20:30:00 - 02/01/2025 20:45:00,BZN|DE-LU,Sequence 1,0.13,,
02/01/2025 20:45:00 - 02/01/2025 21:00:00,BZN|DE-LU,Sequence 1,0.13,,
02/01/2025 21:00:00 - 02/01/2025 21:15:00,BZN|DE-LU,Sequence 1,0.11978,,
02/01/2025 21:15:00 - 02/01/2025 21:30:00,BZN|DE-LU,Sequence 1,0.11978,,
02/01/2025 21:30:00 - 02/01/2025 21:45:00,BZN|DE-LU,Sequence 1,0.11978,,
02/01/2025 21:45:00 - 02/01/2025 22:00:00,BZN|DE-LU,Sequence 1,0.11978,,
02/01/2025 22:00:00 - 02/01/2025 22:15:00,BZN|DE-LU,Sequence 1,0.11342,,
02/01/2025 22:15:00 - 02/01/2025 22:30:00,BZN|DE-LU,Sequence 1,0.11342,,
02/01/2025 22:30:00 - 02/01/2025 22:45:00,BZN|DE-LU,Sequence 1,0.11342,,
02/01/2025 22:45:00 - 02/01/2025 23:00:00,BZN|DE-LU,Sequence 1,0.11342,,
02/01/2025 23:00:00 - 02/01/2025 23:15:00,BZN|DE-LU,Sequence 1,0.08247,,
02/01/2025 23:15:00 - 02/01/2025 23:30:00,BZN|DE-LU,Sequence 1,0.08247,,
02/01/2025 23:30:00 - 02/01/2025 23:45:00,BZN|DE-LU,Sequence 1,0.08247,,
02/01/2025 23:45:00 - 03/01/2025 00:00:00,BZN|DE-LU,Sequence 1,0.08247,,
03/01/2025 00:00:00 - 03/01/2025 00:15:00,BZN|DE-LU,Sequence 1,0.09956,,
03/01/2025 00:15:00 - 03/01/2025 00:30:00,BZN|DE-LU,Sequence 1,0.09956,,
03/01/2025 00:30:00 - 03/01/2025 00:45:00,BZN|DE-LU,Sequence 1,0.09956,,
03/01/2025 00:45:00 - 03/01/2025 01:00:00,BZN|DE-LU,Sequence 1,0.09956,,
03/01/2025 01:00:00 - 03/01/2025 01:15:00,BZN|DE-LU,Sequence 1,0.08753,,
03/01/2025 01:15:00 - 03/01/2025 01:30:00,BZN|DE-LU,Sequence 1,0.08753,,
03/01/2025 01:30:00 - 03/01/2025 01:45:00,BZN|DE-LU,Sequence 1,0.08753,,
03/01/2025 01:45:00 - 03/01/2025 02:00:00,BZN|DE-LU,Sequence 1,0.08753,,
03/01/2025 02:00:00 - 03/01/2025 02:15:00,BZN|DE-LU,Sequence 1,0.08501,,
03/01/2025 02:15:00 - 03/01/2025 02:30:00,BZN|DE-LU,Sequence 1,0.08501,,
03/01/2025 02:30:00 - 03/01/2025 02:45:00,BZN|DE-LU,Sequence 1,0.08501,,
03/01/2025 02:45:00 - 03/01/2025 03:00:00,BZN|DE-LU,Sequence 1,0.08501,,
03/01/2025 03:00:00 - 03/01/2025 03:15:00,BZN|DE-LU,Sequence 1,0.08379,,
03/01/2025 03:15:00 - 03/01/2025 03:30:00,BZN|DE-LU,Sequence 1,0.08379,,
03/01/2025 03:30:00 - 03/01/2025 03:45:00,BZN|DE-LU,Sequence 1,0.08379,,
03/01/2025 03:45:00 - 03/01/2025 04:00:00,BZN|DE-LU,Sequence 1,0.08379,,
03/01/2025 04:00:00 - 03/01/2025 04:15:00,BZN|DE-LU,Sequence 1,0.0775,,
03/01/2025 04:15:00 - 03/01/2025 04:30:00,BZN|DE-LU,Sequence 1,0.0775,,
03/01/2025 04:30:00 - 03/01/2025 04:45:00,BZN|DE-LU,Sequence 1,0.0775,,
03/01/2025 04:45:00 - 03/01/2025 05:00:00,BZN|DE-LU,Sequence 1,0.0775,,
03/01/2025 05:00:00 - 03/01/2025 05:15:00,BZN|DE-LU,Sequence 1,0.07987999999999999,,
03/01/2025 05:15:00 - 03/01/2025 05:30:00,BZN|DE-LU,Sequence 1,0.07987999999999999,,
03/01/2025 05:30:00 - 03/01/2025 05:45:00,BZN|DE-LU,Sequence 1,0.07987999999999999,,
03/01/2025 05:45:00 - 03/01/2025 06:00:00,BZN|DE-LU,Sequence 1,0.07987999999999999,,
03/01/2025 06:00:00 - 03/01/2025 06:15:00,BZN|DE-LU,Sequence 1,0.08356,,
03/01/2025 06:15:00 - 03/01/2025 06:30:00,BZN|DE-LU,Sequence 1,0.08356,,
03/01/2025 06:30:00 - 03/01/2025 06:45:00,BZN|DE-LU,Sequence 1,0.08356,,
03/01/2025 06:45:00 - 03/01/2025 07:00:00,BZN|DE-LU,Sequence 1,0.08356,,
03/01/2025 07:00:00 - 03/01/2025 07:15:00,BZN|DE-LU,Sequence 1,0.07843000000000001,,
03/01/2025 07:15:00 - 03/01/2025 07:30:00,BZN|DE-LU,Sequence 1,0.07843000000000001,,
03/01/2025 07:30:00 - 03/01/2025 07:45:00,BZN|DE-LU,Sequence 1,0.07843000000000001,,
03/01/2025 07:45:00 - 03/01/2025 08:00:00,BZN|DE-LU,Sequence 1,0.07843000000000001,,
03/01/2025 08:00:00 - 03/01/2025 08:15:00,BZN|DE-LU,Sequence 1,0.08256999999999999,,
03/01/2025 08:15:00 - 03/01/2025 08:30:00,BZN|DE-LU,Sequence 1,0.08256999999999999,,
03/01/2025 08:30:00 - 03/01/2025 08:45:00,BZN|DE-LU,Sequence 1,0.08256999999999999,,
03/01/2025 08:45:00 - 03/01/2025 09:00:00,BZN|DE-LU,Sequence 1,0.08256999999999999,,
03/01/2025 09:00:00 - 03/01/2025 09:15:00,BZN|DE-LU,Sequence 1,0.08076,,
03/01/2025 09:15:00 - 03/01/2025 09:30:00,BZN|DE-LU,Sequence 1,0.08076,,
03/01/2025 09:30:00 - 03/01/2025 09:45:00,BZN|DE-LU,Sequence 1,0.08076,,
03/01/2025 09:45:00 - 03/01/2025 10:00:00,BZN|DE-LU,Sequence 1,0.08076,,
03/01/2025 10:00:00 - 03/01/2025 10:15:00,BZN|DE-LU,Sequence 1,0.07764,,
03/01/2025 10:15:00 - 03/01/2025 10:30:00,BZN|DE-LU,Sequence 1,0.07764,,
03/01/2025 10:30:00 - 03/01/2025 10:45:00,BZN|DE-LU,Sequence 1,0.07764,,
03/01/2025 10:45:00 - 03/01/2025 11:00:00,BZN|DE-LU,Sequence 1,0.07764,,
03/01/2025 11:00:00 - 03/01/2025 11:15:00,BZN|DE-LU,Sequence 1,0.07048,,
03/01/2025 11:15:00 - 03/01/2025 11:30:00,BZN|DE-LU,Sequence 1,0.07048,,
03/01/2025 11:30:00 - 03/01/2025 11:45:00,BZN|DE-LU,Sequence 1,0.07048,,
03/01/2025 11:45:00 - 03/01/2025 12:00:00,BZN|DE-LU,Sequence 1,0.07048,,
03/01/2025 12:00:00 - 03/01/2025 12:15:00,BZN|DE-LU,Sequence 1,0.06994,,
03/01/2025 12:15:00 - 03/01/2025 12:30:00,BZN|DE-LU,Sequence 1,0.06994,,
03/01/2025 12:30:00 - 03/01/2025 12:45:00,BZN|DE-LU,Sequence 1,0.06994,,
03/01/2025 12:45:00 - 03/01/2025 13:00:00,BZN|DE-LU,Sequence 1,0.06994,,
03/01/2025 13:00:00 - 03/01/2025 13:15:00,BZN|DE-LU,Sequence 1,0.0778,,
03/01/2025 13:15:00 - 03/01/2025 13:30:00,BZN|DE-LU,Sequence 1,0.0778,,
03/01/2025 13:30:00 - 03/01/2025 13:45:00,BZN|DE-LU,Sequence 1,0.0778,,
03/01/2025 13:45:00 - 03/01/2025 14:00:00,BZN|DE-LU,Sequence 1,0.0778,,
03/01/2025 14:00:00 - 03/01/2025 14:15:00,BZN|DE-LU,Sequence 1,0.07881,,
03/01/2025 14:15:00 - 03/01/2025 14:30:00,BZN|DE-LU,Sequence 1,0.07881,,
03/01/2025 14:30:00 - 03/01/2025 14:45:00,BZN|DE-LU,Sequence 1,0.07881,,
03/01/2025 14:45:00 - 03/01/2025 15:00:00,BZN|DE-LU,Sequence 1,0.07881,,
03/01/2025 15:00:00 - 03/01/2025 15:15:00,BZN|DE-LU,Sequence 1,0.08529,,
03/01/2025 15:15:00 - 03/01/2025 15:30:00,BZN|DE-LU,Sequence 1,0.08529,,
03/01/2025 15:30:00 - 03/01/2025 15:45:00,BZN|DE-LU,Sequence 1,0.08529,,
03/01/2025 15:45:00 - 03/01/2025 16:00:00,BZN|DE-LU,Sequence 1,0.08529,,
03/01/2025 16:00:00 - 03/01/2025 16:15:00,BZN|DE-LU,Sequence 1,0.10551,,
03/01/2025 16:15:00 - 03/01/2025 16:30:00,BZN|DE-LU,Sequence 1,0.10551,,
03/01/2025 16:30:00 - 03/01/2025 16:45:00,BZN|DE-LU,Sequence 1,0.10551,,
03/01/2025 16:45:00 - 03/01/2025 17:00:00,BZN|DE-LU,Sequence 1,0.10551,,
03/01/2025 17:00:00 - 03/01/2025 17:15:00,BZN|DE-LU,Sequence 1,0.11666,,
